Kod producenta;ean;id JMK;Producent;Bieżnik;Sezon;Rodzaj;nazwa;szerokosc;profil;srednica;Indeks prędkości 1;Indeks Prędkości 2;Indeks Nośność 1;Indeks Nośność 2;Zamiennik;System;Magazyn 1 ilosc;Magazyn 2 ilosc;Cena detal netto;Cena klient netto;Opór toczenia;Przyczepność;Hałas Klasa;Hałas dB;Dot;Konstrukcja;Masa brutto;EPRELURL;Informacje_dodatkowe
5001506480000;0440000110000;86799;Mitas;TF03;;rolnicze;OPONA 6.50-20 TF03 6PR TT Mitas;6.50;;20;;;6PR;;;;3;3;533,00;351,78;;;;;;-;16 kg;;
5001506500000;0440000108274;85923;Mitas;TS04;;rolnicze;OPONA 7.50-20 TS04 6PR TT Mitas;7.50;;20;;;6PR;;;;2;2;576,00;380,16;;;;;;-;16 kg;;
5001506510000;0440000056605;72505;Mitas;TF01;;rolnicze;OPONA 7.50-20 TF01 6PR TT Mitas;7.50;;20;;;6PR;;;;8;8;570,00;376,20;;;;;;-;16 kg;;
5001506520000;8059971042603;76832;Mitas;TF03;;rolnicze;OPONA 7.50-20 TF03 6PR TT Mitas;7.50;;20;;;6PR;;;;17;17;583,00;384,78;;;;;;-;16 kg;;
5001506710000;8590341102997;76632;Mitas;AC30;;rolnicze;OPONA 28X9.00-15 AC30 6PR TT Mitas;28X9.00;;15;;;6PR;;;;3;3;820,00;541,20;;;;;;-;0;;
5001506730000;0440000084240;76831;Mitas;TF04;;rolnicze;OPONA 6.00-18 TF04 6PR TT Mitas;6.00;;18;;;6PR;;;;3;3;435,00;287,10;;;;;;-;11 kg;;
5001506770000;8059971059144;89121;Mitas;TF03;;rolnicze;OPONA 6.50-16 TF03 8PR TT Mitas;6.50;;16;;;8PR;;;;6;6;468,00;308,88;;;;;;-;13 kg;;
5001510710000;8590341065964;968;Mitas;BIG BOY;;przemysłowe;OPONA 10-16.5 BIG BOY 8PR TL Mitas;10;;16.5;;;8PR;;;;6;6;939,00;619,74;;;;;;-;25 kg;;
5001510790000;8590341004901;5069;Mitas;TI04;;przemysłowe;OPONA 16.9-24 (420/85-24) TI04 12PR TL Mitas;16.9;;24;;;12PR;;420/85-24;;7;7;2750,00;1815,00;;;;;;-;66 kg;;
5001510810000;8590341065971;2572;Mitas;BIG BOY;;przemysłowe;OPONA 12-16.5 BIG BOY 12PR TL Mitas;12;;16.5;;;12PR;;;;1;1;1250,00;825,00;;;;;;-;40 kg;;
5001510820000;8590341065988;58461;Mitas;BIG BOY;;przemysłowe;OPONA 12-16.5 BIG BOY 14PR TL Mitas;12;;16.5;;;14PR;;;;10;10;1615,00;1065,90;;;;;;-;0;;
5001510900000;8590341065995;50486;Mitas;BIG BOY;;przemysłowe;OPONA 10.5/80-18 BIG BOY 10PR TL Mitas;10.5;80;18;;;10PR;;;;6;6;1340,00;884,40;;;;;;-;0;;
5001510916000;8590341033413;3334;Mitas;TD19;;rolnicze;OPONA 18.4-26 TD19 12PR TL Mitas;18.4;;26;;;12PR;;;;1;1;2705,00;1785,30;;;;;;-;90 kg;;
5001510992000;8590341004765;5303;Mitas;TI06;;przemysłowe;OPONA 18.4-26 TI06 12PR TL Mitas;18.4;;26;;;12PR;;;;11;11;3173,00;2094,18;;;;;;-;90 kg;;
5001514320000;8590341039729;3332;Mitas;TG-01;;przemysłowe;OPONA 16.9-24 (420/85-24) TG-01 12PR TL Mitas;16.9;;24;;;12PR;;420/85-24;;2;2;2750,00;1815,00;;;;;;-;66 kg;;
5001514680000;8590341003850;3128;Mitas;SK02;;przemysłowe;OPONA 10-16.5 SK02 8PR TL Mitas;10;;16.5;;;8PR;;;;12;12;1010,00;666,60;;;;;;-;25 kg;;
5001514690000;8590341003843;3003;Mitas;SK02;;przemysłowe;OPONA 12-16.5 SK02 10PR TL Mitas;12;;16.5;;;10PR;;;;2;2;1224,00;807,84;;;;;;-;40 kg;;
5001514700000;0440000092764;72506;Mitas;SK02;;przemysłowe;OPONA 10-16.5 SK02 10PR TL Mitas;10;;16.5;;;10PR;;;;5;5;1030,00;679,80;;;;;;-;25 kg;;
5001514710000;8590341110732;62961;Mitas;SK02;;przemysłowe;OPONA 12-16.5 SK02 12PR TL Mitas;12;;16.5;;;12PR;;;;4;4;1250,00;825,00;;;;;;-;0;;
5001515220000;8590341003713;1234;Mitas;TR08;;rolnicze;OPONA 400/60-15.5 TR08 14PR TL Mitas;400;60;15.5;;;14PR;;;;7;7;980,00;646,80;;;;;;-;36 kg;;
5001515240000;8590341003430;50119;Mitas;IM07;;rolnicze;OPONA 500/50-17 IM07 14PR TL Mitas;500;50;17;;;14PR;;;;20;20;1477,00;974,82;;;;;;-;0;;
5001515290000;8590341041340;50390;Mitas;IM07;;rolnicze;OPONA 500/50-17 IM07 18PR TL Mitas;500;50;17;;;18PR;;;;4;4;1545,00;1019,70;;;;;;-;0;;
5001515680000;8590341017710;51879;Mitas;IM04;;rolnicze;OPONA 10.0/80-12 IM04 10PR TL Mitas;10.0;80;12;;;10PR;;;;20;20;446,00;294,36;;;;;;-;0;;
