id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
163471;8903094055784;BKT;AGRIMAX FORCE; 800/70R38;184;D;TL;;14150;2;390;inne;wielosezonowe 
163472;8903094040926;BKT;AGRIMAX FORCE CFO;710/70R42;179;D;TL;;12500;0;351;inne;wielosezonowe 
163473;8903094038756;BKT;AGRIMAX SPARGO E;380/90R46;173;D;TL;;5900;1;155;inne;wielosezonowe 
163479;;BKT;TF 9090;;;;;;210;0;;inne;wielosezonowe 
163569;;BKT;AGRIMAX SIRIO;;;;;;5700;0;;inne;wielosezonowe 
163792;;BKT;Earthmax SR 51;;;;;;11260;1;;przemysłowe;wielosezonowe 
163867;;BKT;LG 306 ARAMID BELTED;20X10.00-10;90A6/94A3;/;TL;6;245;0;7;quad;wielosezonowe 
163974;;BKT;MP 600;;;;;;1850;0;;inne;wielosezonowe 
164016;;BKT;Ridemax IT 696;;;;;;1785;0;;inne;wielosezonowe 
164021;;BKT;LG 306;;;;;;2300;0;;quad;wielosezonowe 
164033;;BKT;TR 387;23.1-26;145A6;;TL;8;3390;1;137;inne;wielosezonowe 
164155;8903094009022;BKT;AW 702;10.0/75-15.3;123;A8;TL;10;315;0;16;rolnicze;wielosezonowe 
164169;;BKT;SKID POWER HD IND;;;;;;600;0;;inne;wielosezonowe 
164339;;BKT;GIANT TRAX;;;;;;1150;1;;inne;wielosezonowe 
164340;;BKT;AW 708;;;;;;995;2;;inne;wielosezonowe 
164341;;BKT;MULTIMAX MP 522;;;;;;3500;1;;inne;wielosezonowe 
164342;;BKT;IF AGRIMAX FORCE;;;;;;12100;0;;inne;wielosezonowe 
164383;;BKT;MP 567;;;;;;610;0;;inne;wielosezonowe 
164389;;BKT;MULTIMAX MP 513;;;;;;4240;1;;inne;wielosezonowe 
164390;;BKT;MULTIMAX MP 527 IND;;;;;;3350;0;;inne;wielosezonowe 
170202;;BKT;TR 882;;;;;;875;0;;inne;wielosezonowe 
170253;8903094053285;BKT;FL 635;710/40R22.5;161;D;TL (bezdęt;;4050;1;125;inne;wielosezonowe 
